iter	TotalF1	MultiClass
0	0.7114749421	1.056530105
1	0.7295419589	1.01785152
2	0.6965413943	0.9862834054
3	0.7098484241	0.9509124261
4	0.7124055584	0.9225798625
5	0.7224841444	0.897061663
6	0.7100863404	0.8713695043
7	0.7113248486	0.8502616296
8	0.7138111857	0.8331674051
9	0.7113248486	0.8119025785
10	0.7197090496	0.7919760004
11	0.7323167948	0.7751721664
12	0.751864883	0.759488132
13	0.7559551271	0.7453495395
14	0.7434701551	0.7315523936
15	0.7644230331	0.7154511516
16	0.7500171633	0.7041670656
17	0.7600968902	0.6917788485
18	0.7624067275	0.6834489584
19	0.7601428034	0.6738094789
20	0.7623724554	0.6668230259
21	0.7662158911	0.6567449503
22	0.7683870169	0.6497852293
23	0.7706892323	0.6445482074
24	0.7684277361	0.6355873791
25	0.7730230729	0.6293354235
26	0.7729877746	0.6237990924
27	0.7752827355	0.6168076988
28	0.7752827355	0.6148226258
29	0.7776038577	0.609162603
30	0.7798890206	0.6030295282
31	0.7742930597	0.5981827229
32	0.7829492895	0.5904038069
33	0.7829492895	0.5827368903
34	0.795219876	0.5751854539
35	0.7883868525	0.5692735293
36	0.795219876	0.5640227699
37	0.795219876	0.5585169274
38	0.8020266624	0.5539032249
39	0.8063852682	0.5490374978
40	0.8042982673	0.5448369231
41	0.8041412945	0.5433048537
42	0.8086448222	0.5374127079
43	0.8175643101	0.532710082
44	0.8175747909	0.5290803967
45	0.8154018905	0.526002312
46	0.8198106226	0.5223244055
47	0.8235611138	0.518202188
48	0.8235611138	0.5146123655
49	0.8272139404	0.512921783
50	0.8308005411	0.5083349084
51	0.8307995868	0.505631964
52	0.8307995868	0.5031947677
53	0.8308005411	0.4997706312
54	0.8329937875	0.4954284312
55	0.8329925693	0.4925233692
56	0.8352483345	0.4903609219
57	0.8329925693	0.4890079115
58	0.8375020958	0.486240533
59	0.8388212673	0.4824420221
60	0.8388212673	0.4805611876
61	0.8388212673	0.4779165033
62	0.8422588566	0.475144017
63	0.8422588566	0.4732027798
64	0.8388212673	0.4705516782
65	0.8456310899	0.4681031971
66	0.8456310899	0.4667876996
67	0.8456310899	0.4640675272
68	0.8478334294	0.4621753568
69	0.8478334294	0.4589386925
70	0.8489409859	0.455196458
71	0.8489409859	0.452957341
72	0.8489409859	0.449501479
73	0.8511485302	0.4472979866
74	0.8511485302	0.4454781306
75	0.8511485302	0.4431765177
76	0.8511485302	0.4408975079
77	0.8511485302	0.4385475823
78	0.8511485302	0.4356139889
79	0.8511485302	0.4338805763
80	0.8533554637	0.4307956983
81	0.8533554637	0.4291591825
82	0.8533554637	0.4263459715
83	0.8533554637	0.4228501728
84	0.8533554637	0.4204739009
85	0.8555618702	0.4191467424
86	0.8533554637	0.417392274
87	0.8555618702	0.4160374996
88	0.8555618702	0.4137356173
89	0.8533554637	0.4104613343
90	0.8533554637	0.4075691785
91	0.8555618702	0.4057524608
92	0.8622332614	0.4020417542
93	0.8600264576	0.3990188407
94	0.8622830734	0.3975588004
95	0.8622830734	0.3958329816
96	0.8622830734	0.3920453588
97	0.8622830734	0.3903650593
98	0.8622830734	0.3881549587
99	0.8622830734	0.3856548765
100	0.864491045	0.3839174371
101	0.8667468782	0.3811522677
102	0.8667468782	0.3776472054
103	0.8700259496	0.3757240822
104	0.8700259496	0.3745680058
105	0.8700259496	0.37252586
106	0.8700259496	0.3705850747
107	0.8700259496	0.3697246022
108	0.8700259496	0.3678182078
109	0.8700259496	0.3665663989
110	0.8700259496	0.364957947
111	0.8745333448	0.3627854448
112	0.8745333448	0.3605971636
113	0.8767496342	0.3582718146
114	0.8799787585	0.3556256266
115	0.8822002589	0.3541851562
116	0.8907425359	0.3522286737
117	0.8907425359	0.3514139219
118	0.8876078257	0.3494375257
119	0.8907425359	0.3485972642
120	0.8907425359	0.3470994807
121	0.8907425359	0.3459877647
122	0.8876078257	0.3443516375
123	0.8898347331	0.3431421128
124	0.8983233233	0.3408357403
125	0.8929751151	0.3390424046
126	0.895231615	0.3369229752
127	0.8983233233	0.3346444675
128	0.8983233233	0.3321653812
129	0.8983233233	0.3304367577
130	0.8983233233	0.3288071422
131	0.8983233233	0.3275465691
132	0.9005419928	0.3265898923
133	0.9013680419	0.3239649862
134	0.9013213578	0.3223181796
135	0.9013213578	0.3211155426
136	0.9013213578	0.3192656421
137	0.9013680419	0.3177982632
138	0.9036236601	0.3167569975
139	0.9066239052	0.3156337911
140	0.9066239052	0.3146078797
141	0.9095811958	0.3131109138
142	0.9118358866	0.3115502956
143	0.9118358866	0.3099124192
144	0.9118358866	0.3085309163
145	0.9118358866	0.307491299
146	0.9118358866	0.3059232792
147	0.9118358866	0.3039590299
148	0.9140888715	0.3028962309
149	0.9169552705	0.3015564666
150	0.9169552705	0.3007316563
151	0.9198270315	0.2988775324
152	0.9198270315	0.2978350646
153	0.9198270315	0.2959233174
154	0.9198270315	0.2941724477
155	0.9226096606	0.2928260928
156	0.9226096606	0.2911129278
157	0.9253553492	0.2903570382
158	0.9253553492	0.2896365127
159	0.9276222181	0.2887044953
160	0.9276222181	0.2876751043
161	0.9298876512	0.2855570632
162	0.9326082192	0.2839603924
163	0.9353214353	0.2822197625
164	0.9330505222	0.2813461564
165	0.9330505222	0.2800346015
166	0.9330505222	0.2792439369
167	0.9353214353	0.2775388354
168	0.9330505222	0.2761420578
169	0.9375910217	0.274723222
170	0.9375910217	0.2734982082
171	0.9375910217	0.2717307476
172	0.9398593723	0.2703424231
173	0.9451644847	0.268999209
174	0.9451644847	0.2676082161
175	0.9474451463	0.2665879153
176	0.9474451463	0.2654787073
177	0.9474451463	0.2642886895
178	0.9500675071	0.2621366734
179	0.9474451463	0.2601804153
180	0.9500675071	0.2590553007
181	0.9500675071	0.2582096042
182	0.9500675071	0.2564770326
183	0.9500675071	0.2549809942
184	0.9500675071	0.2537356504
185	0.9526270468	0.2527028136
186	0.9500675071	0.2517925363
187	0.9526270468	0.2509204006
188	0.9474451463	0.2499595548
189	0.9526270468	0.2489572154
190	0.9526035399	0.2481288386
191	0.9526035399	0.2467438903
192	0.9551590886	0.245631376
193	0.9551590886	0.2442658791
194	0.9551590886	0.2434282844
195	0.9551590886	0.2424064618
196	0.9551590886	0.2409345695
197	0.9551590886	0.2406161554
198	0.9551590886	0.2399292565
199	0.9576647548	0.2387001596
200	0.9576647548	0.2380959546
201	0.9599543535	0.2369124067
202	0.9599543535	0.235763933
203	0.9599543535	0.2347491572
204	0.9599543535	0.2332755404
205	0.9599543535	0.2321291276
206	0.9599543535	0.2312625361
207	0.9599543535	0.2296324101
208	0.9599543535	0.2286416066
209	0.9599543535	0.2281756415
210	0.9624401819	0.2268379657
211	0.9599543535	0.2259280533
212	0.9599543535	0.2252732095
213	0.9599543535	0.2241181233
214	0.9599543535	0.2234125555
215	0.9624401819	0.2227825687
216	0.9624401819	0.2222392774
217	0.9624401819	0.2213753612
218	0.9624401819	0.2201253664
219	0.9624401819	0.2191145157
220	0.9624401819	0.2183450237
221	0.9649017827	0.2175451505
222	0.9649017827	0.2165599063
223	0.9649017827	0.2153323671
224	0.9649017827	0.2150718004
225	0.9649017827	0.2138220227
226	0.9649017827	0.2130663883
227	0.9672014665	0.2122179536
228	0.9649017827	0.2115421078
229	0.9672014665	0.2103835143
230	0.9672014665	0.2090405737
231	0.9672014665	0.2083486726
232	0.9672014665	0.2079366006
233	0.9672014665	0.2071304668
234	0.9672014665	0.206276838
235	0.9672014665	0.2053973902
236	0.9695003638	0.2044247284
237	0.9695003638	0.2034621637
238	0.9672014665	0.2028235569
239	0.9672014665	0.2021221812
240	0.9672014665	0.2013290459
241	0.9672014665	0.2006535523
242	0.9672014665	0.1998472382
243	0.9696454158	0.1990545881
244	0.9696454158	0.1986497137
245	0.9696454158	0.1981287861
246	0.9719499412	0.1971884748
