iter	Passed	Remaining
0	1	1697
1	3	1518
2	4	1465
3	5	1481
4	7	1459
5	8	1440
6	10	1440
7	11	1485
8	13	1482
9	14	1479
10	16	1479
11	17	1481
12	19	1481
13	20	1473
14	22	1479
15	23	1475
16	25	1469
17	26	1463
18	28	1461
19	29	1456
20	31	1462
21	32	1458
22	34	1454
23	35	1457
24	37	1458
25	39	1463
26	40	1460
27	42	1458
28	43	1452
29	44	1453
30	46	1453
31	47	1449
32	49	1446
33	50	1444
34	52	1441
35	53	1441
36	55	1437
37	56	1432
38	57	1428
39	59	1423
40	60	1421
41	62	1419
42	63	1417
43	65	1414
44	66	1411
45	67	1408
46	69	1405
47	70	1401
48	72	1399
49	73	1400
50	75	1405
51	77	1405
52	78	1405
53	80	1405
54	81	1407
55	83	1405
56	84	1404
57	86	1405
58	88	1406
59	89	1408
60	91	1407
61	93	1409
62	94	1411
63	96	1410
64	98	1410
65	99	1412
66	101	1413
67	103	1417
68	105	1416
69	106	1415
70	108	1413
71	109	1412
72	111	1411
73	112	1411
74	114	1411
75	116	1411
76	118	1416
77	119	1415
78	121	1413
79	122	1412
80	124	1410
81	125	1409
82	127	1407
83	128	1404
84	130	1402
85	132	1404
86	133	1405
87	135	1404
88	137	1405
89	138	1404
90	140	1404
91	142	1402
92	143	1400
93	145	1399
94	146	1398
95	148	1397
96	150	1396
97	151	1395
98	153	1393
99	154	1390
100	155	1387
101	157	1385
102	158	1383
103	160	1381
104	161	1379
105	163	1377
106	164	1374
107	166	1373
108	167	1373
109	169	1371
110	170	1369
111	172	1368
112	174	1368
113	175	1367
114	177	1367
115	179	1365
116	191	1445
117	193	1444
118	194	1442
119	196	1440
120	197	1437
121	199	1434
122	200	1431
123	202	1427
124	203	1424
125	205	1422
126	206	1420
127	208	1418
128	209	1416
129	211	1413
130	212	1409
131	213	1406
132	215	1404
133	216	1402
134	218	1398
135	219	1395
136	221	1393
137	222	1392
138	224	1390
139	225	1388
140	227	1386
141	229	1384
142	230	1383
143	232	1381
144	233	1379
145	235	1377
146	237	1376
147	239	1376
148	240	1375
149	242	1374
150	244	1374
151	245	1372
152	247	1370
153	249	1368
154	251	1369
155	253	1369
156	254	1367
157	256	1365
158	257	1363
159	259	1361
160	260	1359
161	262	1357
162	263	1355
163	265	1353
164	267	1352
165	268	1351
166	270	1349
167	272	1347
168	273	1344
169	275	1342
170	276	1340
171	277	1337
172	279	1336
173	281	1334
174	282	1332
175	284	1330
176	285	1328
177	287	1326
178	288	1324
179	290	1321
180	291	1320
181	293	1318
182	294	1316
183	296	1314
184	297	1312
185	299	1310
186	300	1308
187	302	1306
188	303	1303
189	305	1300
190	306	1298
191	307	1296
192	309	1294
193	310	1291
194	312	1289
195	313	1287
196	315	1285
197	316	1282
198	318	1280
199	319	1277
200	321	1276
201	322	1275
202	324	1273
203	325	1271
204	327	1269
205	329	1268
206	330	1265
207	331	1263
208	333	1262
209	334	1259
210	336	1257
211	337	1255
212	339	1253
213	340	1251
214	342	1249
215	343	1247
216	345	1245
217	346	1243
218	348	1241
219	349	1240
220	351	1238
221	352	1236
222	354	1233
223	355	1231
224	356	1229
225	358	1227
226	359	1225
227	361	1223
228	362	1221
229	364	1219
230	365	1217
231	367	1215
232	368	1213
233	369	1211
234	371	1209
235	372	1206
236	374	1204
237	375	1202
238	377	1201
239	378	1199
240	380	1196
241	381	1195
242	383	1193
243	384	1192
244	386	1190
245	387	1188
246	389	1186
247	390	1183
248	392	1182
249	393	1180
250	394	1178
251	396	1176
252	397	1174
253	399	1172
254	400	1170
255	402	1168
256	403	1166
257	405	1164
258	406	1162
259	407	1160
260	409	1159
261	411	1157
262	412	1155
263	413	1153
264	415	1152
265	416	1150
266	418	1148
267	419	1147
268	421	1145
269	423	1143
270	424	1141
271	425	1139
272	427	1137
273	428	1136
274	430	1134
275	431	1132
276	433	1130
277	434	1128
278	435	1126
279	437	1124
280	438	1122
281	440	1120
282	441	1119
283	443	1117
284	444	1115
285	446	1113
286	447	1111
287	448	1109
288	450	1107
289	451	1106
290	453	1104
291	455	1103
292	456	1101
293	457	1099
294	459	1097
295	461	1096
296	462	1094
297	463	1092
298	465	1090
299	466	1088
300	468	1086
301	469	1084
302	470	1083
303	472	1081
304	473	1078
305	474	1077
306	476	1075
307	478	1074
308	479	1072
309	480	1070
310	482	1068
311	484	1067
312	485	1065
313	487	1064
314	488	1062
315	489	1060
316	491	1058
317	492	1056
318	494	1055
319	495	1053
320	497	1052
321	499	1050
322	500	1049
323	502	1048
324	503	1046
325	505	1044
326	506	1042
327	508	1041
328	509	1039
329	510	1037
330	512	1035
331	513	1034
332	515	1032
333	517	1031
334	518	1029
335	519	1027
336	521	1025
337	522	1023
338	524	1022
339	525	1020
340	526	1018
341	528	1016
342	529	1014
343	531	1012
344	532	1011
345	533	1009
346	535	1007
347	536	1005
348	538	1004
349	539	1002
350	541	1000
351	542	999
352	544	997
353	545	996
354	547	994
355	548	992
356	550	990
357	551	989
358	553	987
359	554	985
360	556	984
361	557	982
362	558	980
363	560	978
364	561	976
365	562	975
366	564	973
367	566	972
368	567	970
369	568	968
370	570	966
371	571	964
372	573	963
373	574	961
374	575	959
375	577	957
376	578	956
377	580	954
378	581	952
379	582	951
380	584	949
381	585	947
382	587	946
383	589	945
384	590	943
385	591	941
386	593	939
387	594	938
388	596	937
389	598	935
390	599	934
391	601	932
392	603	931
393	604	930
394	606	928
395	607	927
396	609	925
397	611	924
398	612	923
399	614	921
400	615	920
401	617	918
402	619	917
403	621	916
404	622	914
405	624	913
406	625	911
407	627	910
408	629	908
409	630	907
410	632	906
411	634	905
412	636	904
413	637	902
414	639	900
415	640	899
416	641	897
417	643	896
418	645	895
419	647	894
420	649	892
421	650	891
422	652	889
423	653	888
424	655	886
425	656	884
426	658	883
427	659	882
428	661	880
429	662	878
430	664	876
431	666	875
432	667	874
433	669	872
434	670	870
435	671	869
436	673	867
437	675	866
438	676	864
439	678	863
440	679	861
441	681	859
442	682	858
443	684	857
444	686	855
445	687	854
446	688	852
447	690	851
448	692	849
449	694	848
450	695	846
451	697	845
452	699	844
453	701	843
454	702	841
455	704	840
456	706	838
457	707	837
458	709	836
459	710	834
460	712	832
461	713	831
462	715	830
463	717	828
464	719	827
465	721	827
466	723	825
467	725	824
468	726	823
469	728	821
470	730	820
471	731	818
472	733	817
473	735	815
474	736	814
475	738	812
476	740	811
477	742	810
478	743	809
479	745	807
480	747	806
481	748	804
482	750	802
483	751	801
484	753	799
485	754	798
486	756	796
487	757	795
488	759	793
489	761	792
490	762	790
491	764	789
492	766	787
493	767	786
494	769	784
495	770	783
496	772	781
497	773	779
498	774	778
499	776	776
500	777	774
501	779	773
502	780	771
503	782	769
504	783	767
505	784	766
506	786	764
507	787	762
508	789	761
509	790	759
510	792	758
511	794	756
512	795	755
513	797	754
514	798	752
515	800	750
516	802	749
517	803	747
518	805	746
519	806	744
520	807	742
521	809	741
522	811	739
523	812	738
524	813	736
525	815	734
526	816	733
527	818	731
528	819	729
529	821	728
530	822	726
531	823	724
532	825	723
533	827	721
534	828	720
535	830	718
536	831	716
537	833	715
538	834	714
539	836	712
540	837	710
541	839	709
542	840	707
543	842	705
544	843	704
545	844	702
546	846	700
547	847	699
548	849	697
549	850	696
550	852	694
551	853	692
552	854	691
553	856	689
554	858	688
555	859	686
556	861	684
557	861	682
558	866	683
559	868	682
560	870	681
561	872	680
562	874	678
563	876	677
564	878	676
565	880	674
566	882	673
567	884	672
568	885	670
569	887	669
570	889	668
571	891	666
572	892	665
