,date,time,team2,score1,score2,year,day_of_week,is_weekend,day_of_month,month,quarter,day_of_year,week_of_year,season,is_month_start_end,hour,minute,time_of_day,is_work_time,decimal_time,is_afternoon,days_until_weekend,days_until_end_of_month,scorediff,avg_scorediff_by_team,games_played_with_team,cumulative_scorediff_with_team,win_ratio_with_team,avg_scorediff_by_season
0,2023-11-26,16:30:00,СШОР №1 Московского района,4.0,2.0,2023,6,1,26,11,4,330,47,3,0,16,30,2,1,16.5,1,6,4,2.0,2.0,1,2.0,1.0,0.5704697986577181
1,2023-12-03,21:00:00,СШ №2 ВО Звезда-д,3.0,1.0,2023,6,1,3,12,4,337,48,0,0,21,0,3,0,21.0,1,6,28,2.0,2.0,1,2.0,1.0,-0.525
2,2023-12-10,20:00:00,Царское Село-Динамо,0.0,1.0,2023,6,1,10,12,4,344,49,0,0,20,0,3,0,20.0,1,6,21,-1.0,-1.0,1,-1.0,0.0,-0.525
3,2023-12-17,21:30:00,СШ Ленинградец,2.0,6.0,2023,6,1,17,12,4,351,50,0,0,21,30,3,0,21.5,1,6,14,-4.0,-4.0,1,-4.0,0.0,-0.525
4,2023-12-23,19:30:00,Кировец-Восхождение 2007,3.0,1.0,2023,5,1,23,12,4,357,51,0,0,19,30,3,0,19.5,1,0,8,2.0,2.0,1,2.0,1.0,-0.525
5,2024-01-13,20:30:00,Кировец-Восхождение мол.,2.0,1.0,2024,5,1,13,1,1,13,2,0,0,20,30,3,0,20.5,1,0,18,1.0,1.0,1,1.0,1.0,-0.525
6,2024-01-28,19:50:00,ФК Звезда,2.0,2.0,2024,6,1,28,1,1,28,4,0,0,19,50,3,0,19.833333333333332,1,6,3,0.0,-0.3333333333333333,9,0.0,0.3333333333333333,-0.525
7,2024-02-04,21:10:00,Динамо-2,1.0,4.0,2024,6,1,4,2,1,35,5,0,0,21,10,3,0,21.166666666666668,1,6,25,-3.0,-2.3333333333333335,3,-3.0,0.0,-0.525
8,2024-02-06,21:00:00,Тосно,5.0,3.0,2024,1,0,6,2,1,37,6,0,0,21,0,3,0,21.0,1,4,23,2.0,2.0,1,2.0,1.0,-0.525
9,2024-02-25,19:40:00,С.П.Б. К.Л.С.,2.0,1.0,2024,6,1,25,2,1,56,8,0,0,19,40,3,0,19.666666666666668,1,6,4,1.0,-1.0,4,1.0,0.25,-0.525
10,2024-03-02,21:30:00,Кировец-ГУТИД,2.0,1.0,2024,5,1,2,3,1,62,9,1,0,21,30,3,0,21.5,1,0,29,1.0,-1.75,4,1.0,0.25,1.1627906976744187
