,date,time,team2,score1,score2,year,day_of_week,is_weekend,day_of_month,month,quarter,day_of_year,week_of_year,season,is_month_start_end,hour,minute,time_of_day,is_work_time,decimal_time,is_afternoon,days_until_weekend,days_until_end_of_month,scorediff,avg_scorediff_by_team,games_played_with_team,cumulative_scorediff_with_team,win_ratio_with_team,avg_scorediff_by_season
0,2024-09-13,18:00:00,Морские Волки,4,0,2024,4,0,13,9,3,257,37,3,0,18,0,3,0,18.0,1,1,17,4,5.75,4,4,0.75,3.4
1,2024-09-20,19:00:00,ВКА им. А.Ф.Можайского,10,4,2024,4,0,20,9,3,264,38,3,0,19,0,3,0,19.0,1,1,10,6,6.0,1,6,1.0,3.4
2,2024-09-27,19:00:00,СПбГУ,7,2,2024,4,0,27,9,3,271,39,3,0,19,0,3,0,19.0,1,1,3,5,2.142857142857143,7,5,0.42857142857142855,3.4
3,2024-10-10,18:15:00,Михайловские Медведи,5,0,2024,3,0,10,10,4,284,41,3,0,18,15,3,0,18.25,1,2,21,5,5.0,1,5,1.0,3.4
4,2024-10-18,19:00:00,Динамо СПБГЭУ,6,4,2024,4,0,18,10,4,292,42,3,0,19,0,3,0,19.0,1,1,13,2,2.0,1,2,1.0,3.4
5,2024-10-25,19:00:00,Северные Сапсаны,5,1,2024,4,0,25,10,4,299,43,3,0,19,0,3,0,19.0,1,1,6,4,0.8,5,4,0.6,3.4
6,2024-10-31,19:00:00,Северные Сапсаны,3,2,2024,3,0,31,10,4,305,44,3,1,19,0,3,0,19.0,1,2,0,1,0.8,5,5,0.6,3.4
7,2024-11-08,19:00:00,Невские Львы,5,2,2024,4,0,8,11,4,313,45,3,0,19,0,3,0,19.0,1,1,22,3,2.076923076923077,13,3,0.7692307692307693,3.4
8,2024-11-14,19:00:00,Невские Львы,4,3,2024,3,0,14,11,4,319,46,3,0,19,0,3,0,19.0,1,2,16,1,2.076923076923077,13,4,0.7692307692307693,3.4
9,2011-12-11,22:15:00,Спартак,1,1,2011,6,1,11,12,4,345,49,0,0,22,15,3,0,22.25,1,6,20,0,0.0,1,0,0.0,2.3333333333333335
10,2012-01-23,09:30:00,СПбГМУ,8,1,2012,0,0,23,1,1,23,4,0,0,9,30,1,1,9.5,0,5,8,7,7.0,1,7,1.0,2.3333333333333335
11,2012-01-25,10:30:00,СПГКФЭТ,3,6,2012,2,0,25,1,1,25,4,0,0,10,30,1,1,10.5,0,3,6,-3,-3.0,1,-3,0.0,2.3333333333333335
12,2012-02-26,22:30:00,Лисы,8,4,2012,6,1,26,2,1,57,8,0,0,22,30,3,0,22.5,1,6,3,4,0.13333333333333333,15,4,0.5333333333333333,2.3333333333333335
13,2012-03-04,22:30:00,Невские Львы,2,0,2012,6,1,4,3,1,64,9,1,0,22,30,3,0,22.5,1,6,27,2,2.076923076923077,13,6,0.7692307692307693,1.8615384615384616
14,2012-03-11,22:30:00,Горняк,21,1,2012,6,1,11,3,1,71,10,1,0,22,30,3,0,22.5,1,6,20,20,9.666666666666666,3,20,1.0,1.8615384615384616
15,2012-03-18,22:30:00,Комбат,5,0,2012,6,1,18,3,1,78,11,1,0,22,30,3,0,22.5,1,6,13,5,5.0,1,5,1.0,1.8615384615384616
16,2012-03-25,22:30:00,Волки ЛТУ,3,7,2012,6,1,25,3,1,85,12,1,0,22,30,3,0,22.5,1,6,6,-4,-0.8333333333333334,12,-4,0.3333333333333333,1.8615384615384616
17,2012-04-01,22:30:00,ИНЖЭКОН,5,0,2012,6,1,1,4,2,92,13,1,1,22,30,3,0,22.5,1,6,29,5,7.666666666666667,3,5,1.0,1.8615384615384616
18,2012-04-08,22:30:00,Военмех,3,3,2012,6,1,8,4,2,99,14,1,0,22,30,3,0,22.5,1,6,22,0,3.6666666666666665,3,0,0.6666666666666666,1.8615384615384616
19,2012-11-23,21:30:00,КФКиСЭТ СПбГУ,2,4,2012,4,0,23,11,4,328,47,3,0,21,30,3,0,21.5,1,1,7,-2,-1.25,4,-2,0.25,3.4
20,2012-11-30,21:30:00,Военмех,7,0,2012,4,0,30,11,4,335,48,3,1,21,30,3,0,21.5,1,1,0,7,3.6666666666666665,3,7,0.6666666666666666,3.4
21,2012-12-08,21:00:00,Невские Львы,8,3,2012,5,1,8,12,4,343,49,0,0,21,0,3,0,21.0,1,0,23,5,2.076923076923077,13,11,0.7692307692307693,2.3333333333333335
22,2013-02-10,21:45:00,Университет Лесгафта,3,2,2013,6,1,10,2,1,41,6,0,0,21,45,3,0,21.75,1,6,18,1,-1.7272727272727273,11,1,0.36363636363636365,2.3333333333333335
23,2013-02-16,19:30:00,ИНЖЭКОН,15,2,2013,5,1,16,2,1,47,7,0,0,19,30,3,0,19.5,1,0,12,13,7.666666666666667,3,18,1.0,2.3333333333333335
24,2013-02-23,19:30:00,Волки ЛТУ,5,0,2013,5,1,23,2,1,54,8,0,0,19,30,3,0,19.5,1,0,5,5,-0.8333333333333334,12,1,0.3333333333333333,2.3333333333333335
