date,time,team2,score1,score2
26.11.2023,16:30,СШОР №1 Московского района,4.0,2.0
03.12.2023,21:00,СШ №2 ВО Звезда-д,3.0,1.0
10.12.2023,20:00,Царское Село-Динамо,0.0,1.0
17.12.2023,21:30,СШ Ленинградец,2.0,6.0
23.12.2023,19:30,Кировец-Восхождение 2007,3.0,1.0
13.01.2024,20:30,Кировец-Восхождение мол.,2.0,1.0
28.01.2024,19:50,ФК Звезда,2.0,2.0
04.02.2024,21:10,Динамо-2,1.0,4.0
06.02.2024,21:00,Тосно,5.0,3.0
25.02.2024,19:40,С.П.Б. К.Л.С.,2.0,1.0
02.03.2024,21:30,Кировец-ГУТИД,2.0,1.0
25.10.2024,22:00,ПСПбГМУ,21.0,0.0
01.11.2024,21:00,РГПУ им. Герцена,0.0,0.0
15.11.2024,21:00,СПбГУТ,1.0,5.0
22.11.2024,18:00,СПбГУПТД,7.0,0.0
14.05.2018,20:15,Горный университет,7.0,0.0
02.06.2018,13:00,СПбГАУ,3.0,0.0
04.06.2018,14:00,УГПС МЧС,6.0,0.0
09.06.2018,14:00,ГУМРФ,9.0,1.0
11.06.2018,13:30,СПбГУПТД,6.0,0.0
20.06.2018,15:00,НГУ им. П.Ф. Лесгафта,1.0,2.0
04.11.2023,18:30,ВАС,2.0,0.0
05.11.2023,10:00,СПбГЭТУ ЛЭТИ,1.0,2.0
11.11.2023,17:30,РГПУ им. Герцена,3.0,1.0
18.11.2023,19:30,СПбГМТУ,3.0,2.0
25.11.2023,21:30,ПГУПС,5.0,0.0
02.12.2023,17:30,РАНХиГС СПб,5.0,0.0
09.12.2023,20:30,БГТУ ВОЕНМЕХ,1.0,3.0
16.12.2023,16:30,СПбГЛТУ,11.0,1.0
23.12.2023,17:30,ВА МТО,6.0,2.0
17.02.2024,19:30,ВАС,9.0,2.0
24.02.2024,19:30,СПбГЭТУ ЛЭТИ,1.0,1.0
02.03.2024,21:30,РГПУ им. Герцена,4.0,0.0
09.03.2024,18:30,СПбГМТУ,2.0,1.0
10.03.2024,12:00,ПГУПС,6.0,0.0
16.03.2024,18:30,РАНХиГС СПб,1.0,4.0
30.03.2024,20:30,СПбГЛТУ,8.0,0.0
06.04.2024,20:30,БГТУ ВОЕНМЕХ,4.0,0.0
13.04.2024,17:30,ВА МТО,6.0,1.0
22.05.2019,14:00,СПбГУ,2.0,1.0
29.05.2019,12:00,ПСПбГМУ,3.0,0.0
01.06.2019,14:00,СЗИУ РАНХиГС,0.0,3.0
10.06.2019,13:30,УГПС МЧС,3.0,0.0
23.06.2019,16:00,НГУ им. Лесгафта,2.0,0.0
30.06.2019,10:00,СПбГУПТД,5.0,1.0
18.09.2024,14:15,ГУМРФ,14.0,1.0
23.09.2024,14:15,Университет ГПС МЧС,5.0,1.0
30.09.2024,14:15,СПбГУ,5.0,1.0
07.10.2024,14:15,"СПбГЭТУ ""ЛЭТИ""",1.0,2.0
12.05.2022,19:15,СТД Петрович,3.0,3.0
18.05.2022,19:15,ФК Звезда,3.0,2.0
01.06.2022,19:15,Максима,1.0,3.0
08.06.2022,19:15,Балтавто,4.0,2.0
15.06.2022,21:15,Авангард,0.0,4.0
23.06.2022,19:15,Интер Лесгафта,1.0,7.0
01.07.2022,20:15,Ядро,1.0,8.0
07.07.2022,21:15,Динамо-Центр,3.0,2.0
09.07.2022,14:00,ЧипЛогик,4.0,7.0
15.07.2022,20:15,СТД Петрович,1.0,2.0
20.07.2022,19:15,ФК Звезда,1.0,1.0
24.08.2022,21:15,ЧипЛогик,0.0,3.0
31.08.2022,21:15,Максима,0.0,3.0
14.09.2022,21:15,Авангард,1.0,3.0
22.09.2022,21:15,Интер Лесгафта,0.0,8.0
28.09.2022,19:15,Ядро,0.0,3.0
